,RFdiffusion_output,AF2_prediction,Noise_level,Fold_conditioned,FastRelax,Monomeric,Binder
0,IL7Ra_binder_design_1,IL7Ra_binder_AF2_1,0.5,False,False,True,True
1,IL7Ra_binder_design_2,IL7Ra_binder_AF2_2,0.0,True,False,True,True
2,IL7Ra_binder_design_3,IL7Ra_binder_AF2_3,0.0,False,False,True,False
3,IL7Ra_binder_design_4,IL7Ra_binder_AF2_4,0.0,False,False,True,False
4,IL7Ra_binder_design_5,IL7Ra_binder_AF2_5,0.0,False,False,True,False
5,IL7Ra_binder_design_6,IL7Ra_binder_AF2_6,0.5,True,False,False,False
6,IL7Ra_binder_design_7,IL7Ra_binder_AF2_7,0.0,False,False,True,False
7,IL7Ra_binder_design_8,IL7Ra_binder_AF2_8,1.0,True,False,False,True
8,IL7Ra_binder_design_9,IL7Ra_binder_AF2_9,0.0,False,False,True,True
9,IL7Ra_binder_design_10,IL7Ra_binder_AF2_10,1.0,False,False,True,False
10,IL7Ra_binder_design_11,IL7Ra_binder_AF2_11,1.0,True,False,True,True
11,IL7Ra_binder_design_12,IL7Ra_binder_AF2_12,0.5,False,False,True,False
12,IL7Ra_binder_design_13,IL7Ra_binder_AF2_13,0.0,True,False,True,False
13,IL7Ra_binder_design_14,IL7Ra_binder_AF2_14,0.5,True,False,True,False
14,IL7Ra_binder_design_15,IL7Ra_binder_AF2_15,0.5,True,False,True,False
15,IL7Ra_binder_design_16,IL7Ra_binder_AF2_16,0.0,False,False,True,False
16,IL7Ra_binder_design_17,IL7Ra_binder_AF2_17,0.0,False,False,False,True
17,IL7Ra_binder_design_18,IL7Ra_binder_AF2_18,0.0,False,False,True,False
18,IL7Ra_binder_design_19,IL7Ra_binder_AF2_19,0.0,False,False,False,False
19,IL7Ra_binder_design_20,IL7Ra_binder_AF2_20,0.0,True,False,False,True
20,IL7Ra_binder_design_21,IL7Ra_binder_AF2_21,0.0,False,False,False,False
21,IL7Ra_binder_design_22,IL7Ra_binder_AF2_22,0.0,False,False,True,False
22,IL7Ra_binder_design_23,IL7Ra_binder_AF2_23,0.0,False,False,True,True
23,IL7Ra_binder_design_24,IL7Ra_binder_AF2_24,0.5,True,False,False,False
24,IL7Ra_binder_design_25,IL7Ra_binder_AF2_25,0.0,True,False,True,False
25,IL7Ra_binder_design_26,IL7Ra_binder_AF2_26,0.0,True,False,True,True
26,IL7Ra_binder_design_27,IL7Ra_binder_AF2_27,0.0,True,False,True,False
27,IL7Ra_binder_design_28,IL7Ra_binder_AF2_28,0.5,True,False,True,False
28,IL7Ra_binder_design_29,IL7Ra_binder_AF2_29,0.5,True,False,False,True
29,IL7Ra_binder_design_30,IL7Ra_binder_AF2_30,1.0,True,False,False,True
30,IL7Ra_binder_design_31,IL7Ra_binder_AF2_31,0.0,False,False,True,True
31,IL7Ra_binder_design_32,IL7Ra_binder_AF2_32,0.0,False,False,True,False
32,IL7Ra_binder_design_33,IL7Ra_binder_AF2_33,0.5,False,False,False,True
33,IL7Ra_binder_design_34,IL7Ra_binder_AF2_34,0.0,True,False,False,False
34,IL7Ra_binder_design_35,IL7Ra_binder_AF2_35,0.0,False,False,True,True
35,IL7Ra_binder_design_36,IL7Ra_binder_AF2_36,0.0,True,False,False,False
36,IL7Ra_binder_design_37,IL7Ra_binder_AF2_37,0.0,False,False,True,True
37,IL7Ra_binder_design_38,IL7Ra_binder_AF2_38,0.0,False,False,True,False
